 ,Area,Mean,Min,Max
617,315,4197.622,3393,6016
618,196,7250.949,3403,11134
619,266,4584.060,3392,5541
620,319,3977.840,3387,4979
621,316,4430.756,3387,5885
622,354,4621.483,3395,6096
623,273,4585.337,3384,6090
624,388,5522.041,3398,7332
625,298,4919.946,3383,6450
626,419,6673.322,3418,9348
627,224,3774.018,3382,4428
628,367,8674.406,3385,16487
629,266,4245.534,3390,5587
630,290,4580.203,3395,6064
631,278,3942.730,3385,4751
632,325,5421.766,3389,7190
633,270,4164.630,3382,5138
634,283,4248.996,3389,5785
635,404,4503.993,3400,5865
636,289,4442.803,3382,6071
637,363,5077.441,3385,6620
638,319,3955.962,3390,4906
639,273,3778.784,3388,5089
640,442,6935.939,3386,9473
641,312,4091.619,3383,5138
642,272,4244.588,3382,5336
643,299,5117.201,3397,6897
644,236,3954.102,3383,5115
645,466,5241.361,3410,6813
646,496,5817.798,3407,8980
647,301,4890.216,3402,6226
648,272,4283.037,3388,5439
649,500,5771.066,3383,8184
650,277,3783.458,3391,5034
651,368,4757.416,3386,6526
652,364,4780.041,3389,6230
653,283,4507.926,3408,5952
654,297,4034.519,3386,5192
655,362,6754.387,3427,9491
656,261,4682.977,3432,6082
657,276,3890.949,3383,5226
658,280,4061.700,3385,5113
659,419,4114.442,3382,5168
660,269,4575.030,3399,5824
661,275,4202.305,3389,5482
662,433,6487.767,3403,9609
663,493,6102.008,3385,8521
664,276,5188.478,3440,7467
665,294,4961.156,3383,6477
666,282,4197.270,3395,5361
667,305,4731.098,3388,6222
668,392,3959.089,3382,5128
669,216,6641.870,3415,9802
670,317,4120.259,3384,5121
671,469,5129.719,3385,6659
672,426,7137.843,3389,10108
673,185,7582.659,3417,12443
674,356,4186.520,3387,5357
675,151,9155.881,3415,17202
676,248,3906.806,3390,4831
677,447,6473.980,3408,8969
678,285,4450.418,3395,5584
679,303,4429.026,3385,5453
680,304,4279.382,3387,5625
681,423,4737.071,3384,6165
682,347,6482.723,3459,8907
683,275,5291.225,3388,7456
684,318,4554.057,3382,6015
685,335,5579.251,3416,6994
686,375,4642.163,3382,6189
687,325,3932.397,3384,4926
688,303,4215.086,3389,5520
689,430,7317.474,3395,13172
690,372,5709.395,3395,8399
691,376,4249.934,3384,5830
692,430,5032.209,3414,6618
693,433,7235.245,3383,12928
694,320,4301.650,3392,5314
695,321,4107.050,3386,5656
696,370,4624.257,3382,6272
697,155,8949.477,3385,16613
698,415,5286.094,3384,7313
699,329,5873.188,3406,8388
700,309,4930.000,3387,6932
701,430,5684.428,3396,7389
702,303,4586.809,3391,5797
703,347,6274.300,3408,8923
704,281,4696.502,3405,6199
705,248,5448.488,3393,7300
706,429,6993.953,3395,10436
707,365,4931.677,3390,6278
708,317,4160.274,3382,5582
709,291,4254.076,3385,5355
710,289,3843.228,3384,4619
711,276,5157.562,3401,7228
712,316,5892.991,3389,8009
713,319,4269.925,3384,5416
714,318,4483.396,3385,5658
715,417,5969.571,3444,8602
716,300,4831.330,3390,6812
717,306,4220.042,3392,5364
718,324,4384.852,3382,5373
719,490,6267.080,3422,8555
720,318,4012.346,3383,5224
721,458,6345.581,3389,8813
722,319,4157.602,3389,5722
723,296,4459.669,3399,5685
724,242,5784.463,3393,8068
725,324,4408.880,3382,5411
726,295,4789.942,3401,6984
727,420,6840.829,3392,12306
728,464,6636.892,3429,9535
729,269,4605.606,3396,5988
730,319,5824.890,3382,8194
731,461,6089.512,3415,7936
732,407,4905.865,3413,6632
733,310,3905.026,3388,4693
734,320,4427.172,3390,5637
735,325,4336.009,3387,5634
736,460,4818.165,3384,6570
737,254,5683.224,3393,7791
738,309,4525.379,3384,5987
739,305,4280.184,3396,5565
740,308,4495.318,3400,5824
741,318,4215.613,3394,5283
742,307,4789.909,3388,6040
743,321,5781.757,3417,8066
744,328,4270.573,3386,5652
745,310,5123.423,3392,7267
746,283,4861.989,3408,6228
747,354,4692.554,3383,6464
